Wavelength [nm], absorption
527.62776, 0.78208175
527.65277, 0.78485753
527.67777, 0.78770109
527.70277, 0.79059196
527.72777, 0.79351011
527.75278, 0.79643610
527.77778, 0.79935121
527.80278, 0.80223756
527.82778, 0.80507826
527.85279, 0.80785742
527.87779, 0.81056024
527.90279, 0.81317302
527.92779, 0.81568320
527.95280, 0.81807934
527.97780, 0.82035108
528.00280, 0.82248915
528.02780, 0.82448531
528.05281, 0.82633227
528.07781, 0.82802371
528.10281, 0.82955415
528.12781, 0.83091893
528.15282, 0.83211415
528.17782, 0.83313661
528.20282, 0.83398376
528.22782, 0.83465366
528.25283, 0.83514493
528.27783, 0.83545672
528.30283, 0.83558867
528.32783, 0.83554093
528.35284, 0.83531408
528.37784, 0.83490919
528.40284, 0.83432777
528.42784, 0.83357181
528.45285, 0.83264376
528.47785, 0.83154661
528.50285, 0.83028382
528.52785, 0.82885944
528.55286, 0.82727810
528.57786, 0.82554502
528.60286, 0.82366612
528.62786, 0.82164795
528.65287, 0.81949784
528.67787, 0.81722384
528.70287, 0.81483479
528.72787, 0.81234034
528.75288, 0.80975096
528.77788, 0.80707793
528.80288, 0.80433337
528.82788, 0.80153023
528.85289, 0.79868219
528.87789, 0.79580373
528.90289, 0.79290999
528.92789, 0.79001674
528.95290, 0.78714029
528.97790, 0.78429738
529.00290, 0.78150509
