wavelength [nm], relative absorbance
511.50615, 0.91594066
511.52115, 0.91580133
511.53615, 0.91564214
511.55116, 0.91546344
511.56616, 0.91526566
511.58116, 0.91504924
511.59616, 0.91481466
511.61116, 0.91456247
511.62616, 0.91429323
511.64116, 0.91400756
511.65617, 0.91370608
511.67117, 0.91338949
511.68617, 0.91305850
511.70117, 0.91271383
511.71617, 0.91235626
511.73117, 0.91198658
511.74617, 0.91160561
511.76118, 0.91121420
511.77618, 0.91081319
511.79118, 0.91040347
511.80618, 0.90998594
511.82118, 0.90956149
511.83618, 0.90913105
511.85119, 0.90869554
511.86619, 0.90825590
511.88119, 0.90781306
511.89619, 0.90736796
511.91119, 0.90692153
511.92619, 0.90647472
511.94119, 0.90602845
511.95620, 0.90558364
511.97120, 0.90514120
511.98620, 0.90470204
512.00120, 0.90426705
512.01620, 0.90383708
512.03120, 0.90341300
512.04620, 0.90299563
512.06121, 0.90258579
512.07621, 0.90218426
512.09121, 0.90179180
512.10621, 0.90140913
512.12121, 0.90103698
512.13621, 0.90067600
512.15122, 0.90032684
512.16622, 0.89999010
512.18122, 0.89966635
512.19622, 0.89935614
512.21122, 0.89905996
512.22622, 0.89877826
512.24122, 0.89851148
512.25623, 0.89825998
512.27123, 0.89802412
512.28623, 0.89780420
512.30123, 0.89760046
512.31623, 0.89741314
512.33123, 0.89724239
512.34623, 0.89708837
512.36124, 0.89695114
512.37624, 0.89683078
512.39124, 0.89672727
512.40624, 0.89664059
512.42124, 0.89657066
512.43624, 0.89651737
512.45125, 0.89648054
512.46625, 0.89646000
512.48125, 0.89645550
512.49625, 0.89646678
512.51125, 0.89649352
512.52625, 0.89653538
512.54125, 0.89659198
512.55626, 0.89666291
512.57126, 0.89674773
512.58626, 0.89684595
512.60126, 0.89695709
512.61626, 0.89708062
512.63126, 0.89721596
512.64626, 0.89736256
512.66127, 0.89751980
512.67627, 0.89768706
512.69127, 0.89786371
512.70627, 0.89804909
512.72127, 0.89824252
512.73627, 0.89844331
512.75128, 0.89865079
512.76628, 0.89886423
512.78128, 0.89908292
512.79628, 0.89930615
512.81128, 0.89953320
512.82628, 0.89976334
512.84128, 0.89999585
512.85629, 0.90023001
512.87129, 0.90046511
512.88629, 0.90070045
512.90129, 0.90093530
512.91629, 0.90116900
512.93129, 0.90140086
512.94629, 0.90163021
512.96130, 0.90185641
512.97630, 0.90207883
512.99130, 0.90229684
513.00630, 0.90250986
513.02130, 0.90271731
513.03630, 0.90291864
513.05131, 0.90311334
513.06631, 0.90330089
513.08131, 0.90348083
513.09631, 0.90365270
513.11131, 0.90381610
513.12631, 0.90397063
513.14131, 0.90411595
513.15632, 0.90425171
513.17132, 0.90437764
513.18632, 0.90449346
513.20132, 0.90459896
513.21632, 0.90469393
513.23132, 0.90477821
513.24632, 0.90485168
513.26133, 0.90491424
513.27633, 0.90496584
513.29133, 0.90500644
513.30633, 0.90503605
513.32133, 0.90505471
513.33633, 0.90506250
513.35134, 0.90505952
513.36634, 0.90504591
513.38134, 0.90502184
513.39634, 0.90498749
513.41134, 0.90494311
513.42634, 0.90488894
513.44134, 0.90482528
513.45635, 0.90475242
513.47135, 0.90467072
513.48635, 0.90458051
513.50135, 0.90448220
513.51635, 0.90437617
513.53135, 0.90426287
513.54635, 0.90414271
513.56136, 0.90401618
513.57636, 0.90388374
513.59136, 0.90374588
513.60636, 0.90360310
513.62136, 0.90345592
513.63636, 0.90330485
513.65137, 0.90315043
513.66637, 0.90299319
513.68137, 0.90283367
513.69637, 0.90267240
513.71137, 0.90250993
513.72637, 0.90234680
513.74137, 0.90218354
513.75638, 0.90202068
513.77138, 0.90185876
513.78638, 0.90169828
513.80138, 0.90153976
513.81638, 0.90138368
513.83138, 0.90123054
513.84638, 0.90108080
513.86139, 0.90093491
513.87639, 0.90079331
513.89139, 0.90065642
513.90639, 0.90052463
513.92139, 0.90039832
513.93639, 0.90027783
513.95140, 0.90016351
513.96640, 0.90005565
513.98140, 0.89995453
513.99640, 0.89986041
514.01140, 0.89977351
514.02640, 0.89969403
514.04140, 0.89962215
514.05641, 0.89955799
514.07141, 0.89950167
514.08641, 0.89945328
514.10141, 0.89941286
514.11641, 0.89938043
514.13141, 0.89935599
514.14641, 0.89933950
514.16142, 0.89933089
514.17642, 0.89933006
514.19142, 0.89933688
514.20642, 0.89935119
514.22142, 0.89937282
514.23642, 0.89940154
514.25143, 0.89943711
514.26643, 0.89947927
514.28143, 0.89952773
514.29643, 0.89958216
514.31143, 0.89964223
514.32643, 0.89970758
514.34143, 0.89977782
514.35644, 0.89985254
514.37144, 0.89993132
514.38644, 0.90001373
514.40144, 0.90009930
514.41644, 0.90018757
514.43144, 0.90027805
514.44644, 0.90037025
514.46145, 0.90046366
514.47645, 0.90055778
514.49145, 0.90065207
514.50645, 0.90074603
514.52145, 0.90083912
514.53645, 0.90093082
514.55146, 0.90102060
514.56646, 0.90110793
514.58146, 0.90119231
514.59646, 0.90127321
514.61146, 0.90135012
