wavelength [nm], relative absorbance
512.03120, 0.54714186
512.04620, 0.54717322
512.06121, 0.54720314
512.07621, 0.54723131
512.09121, 0.54725744
512.10621, 0.54728123
512.12121, 0.54730240
512.13621, 0.54732068
512.15122, 0.54733580
512.16622, 0.54734750
512.18122, 0.54735554
512.19622, 0.54735971
512.21122, 0.54735979
512.22622, 0.54735557
512.24122, 0.54734689
512.25623, 0.54733358
512.27123, 0.54731550
512.28623, 0.54729251
512.30123, 0.54726452
512.31623, 0.54723144
512.33123, 0.54719320
512.34623, 0.54714976
512.36124, 0.54710109
512.37624, 0.54704718
512.39124, 0.54698806
512.40624, 0.54692376
512.42124, 0.54685434
512.43624, 0.54677989
512.45125, 0.54670049
512.46625, 0.54661628
512.48125, 0.54652738
512.49625, 0.54643397
512.51125, 0.54633622
512.52625, 0.54623432
512.54125, 0.54612848
512.55626, 0.54601894
512.57126, 0.54590594
512.58626, 0.54578973
512.60126, 0.54567060
512.61626, 0.54554881
512.63126, 0.54542467
512.64626, 0.54529848
512.66127, 0.54517055
512.67627, 0.54504121
512.69127, 0.54491078
512.70627, 0.54477959
512.72127, 0.54464797
512.73627, 0.54451626
512.75128, 0.54438479
512.76628, 0.54425390
512.78128, 0.54412393
512.79628, 0.54399519
512.81128, 0.54386802
512.82628, 0.54374273
512.84128, 0.54361963
512.85629, 0.54349901
512.87129, 0.54338117
512.88629, 0.54326639
512.90129, 0.54315492
512.91629, 0.54304701
512.93129, 0.54294291
512.94629, 0.54284283
512.96130, 0.54274696
512.97630, 0.54265550
512.99130, 0.54256860
513.00630, 0.54248642
513.02130, 0.54240908
513.03630, 0.54233667
513.05131, 0.54226929
513.06631, 0.54220699
513.08131, 0.54214981
513.09631, 0.54209778
513.11131, 0.54205088
513.12631, 0.54200909
513.14131, 0.54197236
513.15632, 0.54194063
513.17132, 0.54191379
513.18632, 0.54189174
513.20132, 0.54187435
513.21632, 0.54186145
513.23132, 0.54185289
513.24632, 0.54184846
513.26133, 0.54184796
513.27633, 0.54185116
513.29133, 0.54185783
513.30633, 0.54186771
513.32133, 0.54188052
513.33633, 0.54189598
513.35134, 0.54191381
513.36634, 0.54193370
513.38134, 0.54195533
513.39634, 0.54197840
513.41134, 0.54200256
513.42634, 0.54202750
513.44134, 0.54205288
513.45635, 0.54207836
513.47135, 0.54210362
513.48635, 0.54212831
513.50135, 0.54215212
513.51635, 0.54217470
513.53135, 0.54219575
513.54635, 0.54221494
513.56136, 0.54223198
513.57636, 0.54224656
513.59136, 0.54225841
513.60636, 0.54226724
513.62136, 0.54227280
513.63636, 0.54227485
513.65137, 0.54227315
513.66637, 0.54226748
513.68137, 0.54225766
513.69637, 0.54224351
513.71137, 0.54222485
513.72637, 0.54220157
513.74137, 0.54217352
513.75638, 0.54214062
513.77138, 0.54210278
513.78638, 0.54205995
513.80138, 0.54201208
513.81638, 0.54195916
