wavelength [nm], relative intensity
788.54855, 0.00000000
788.76877, 0.00000000
788.98899, 0.00000000
789.20921, 0.00000000
789.42943, 0.00000000
789.64965, 0.00000000
789.86987, 0.00000000
790.09009, 0.00000000
790.31031, 0.00000000
790.53053, 0.00000000
790.75075, 0.00000000
790.97097, 0.00000000
791.19119, 0.00000000
791.41141, 0.00000000
791.63163, 0.00000000
791.85185, 0.00000000
792.07207, 0.00000003
792.29229, 0.00000027
792.51251, 0.00000173
792.73273, 0.00000910
792.95295, 0.00003941
793.17317, 0.00014064
793.39339, 0.00041341
793.61361, 0.00100093
793.83383, 0.00199610
794.05405, 0.00327879
794.27427, 0.00443605
794.49449, 0.00494347
794.71471, 0.00453752
794.93493, 0.00343050
795.15516, 0.00213624
795.37538, 0.00109570
795.59560, 0.00046290
795.81582, 0.00016108
796.03604, 0.00004617
796.25626, 0.00001090
796.47648, 0.00000212
796.69670, 0.00000034
796.91692, 0.00000004
797.13714, 0.00000000
797.35736, 0.00000000
797.57758, 0.00000000
797.79780, 0.00000000
798.01802, 0.00000000
798.23824, 0.00000000
798.45846, 0.00000000
798.67868, 0.00000000
798.89890, 0.00000000
799.11912, 0.00000000
799.33934, 0.00000000
799.55956, 0.00000000
799.77978, 0.00000000
800.00000, 0.00000000
